X,Y,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,label
46.2068768,-9.40271764,5.894,2011/12/21 17:27:54,,,C00,,,,,,,,,,Waypoint,Summit,,,,,,,,"<label_text>C00</label_text><text xmlns=""http://www.topografix.com/GPX/gpx_style/0/2"" ><font><family generic=""sans-serif"" ><face>Arial</face></family></font></text>"
46.20673372,-9.40230282,3.731,2011/12/21 17:27:54,,,C01,,,,,,,,,,Waypoint,Summit,,,,,,,,"<label_text>C01</label_text><text xmlns=""http://www.topografix.com/GPX/gpx_style/0/2"" ><font><family generic=""sans-serif"" ><face>Arial</face></family></font></text>"
46.20636818,-9.4020636,6.855,2011/12/21 17:27:54,,,C02,,,,,,,,,,Waypoint,Summit,,,,,,,,"<label_text>C02</label_text><text xmlns=""http://www.topografix.com/GPX/gpx_style/0/2"" ><font><family generic=""sans-serif"" ><face>Arial</face></family></font></text>"
46.20609971,-9.40172087,6.374,2011/12/21 17:27:54,,,C03,,,,,,,,,,Waypoint,Summit,,,,,,,,"<label_text>C03</label_text><text xmlns=""http://www.topografix.com/GPX/gpx_style/0/2"" ><font><family generic=""sans-serif"" ><face>Arial</face></family></font></text>"
46.20606174,-9.40124704,9.499,2011/12/21 17:27:54,,,C04,,,,,,,,,,Waypoint,Summit,,,,,,,,"<label_text>C04</label_text><text xmlns=""http://www.topografix.com/GPX/gpx_style/0/2"" ><font><family generic=""sans-serif"" ><face>Arial</face></family></font></text>"
46.20609208,-9.40077983,8.057,2011/12/21 17:27:54,,,C05,,,,,,,,,,Waypoint,Summit,,,,,,,,"<label_text>C05</label_text><text xmlns=""http://www.topografix.com/GPX/gpx_style/0/2"" ><font><family generic=""sans-serif"" ><face>Arial</face></family></font></text>"
46.20602017,-9.40029854,9.979,2011/12/21 17:27:54,,,C06,,,,,,,,,,Waypoint,Summit,,,,,,,,"<label_text>C06</label_text><text xmlns=""http://www.topografix.com/GPX/gpx_style/0/2"" ><font><family generic=""sans-serif"" ><face>Arial</face></family></font></text>"
46.2059335,-9.3999035,7.336,2011/12/21 17:27:54,,,C07,,,,,,,,,,Waypoint,Summit,,,,,,,,"<label_text>C07</label_text><text xmlns=""http://www.topografix.com/GPX/gpx_style/0/2"" ><font><family generic=""sans-serif"" ><face>Arial</face></family></font></text>"
46.20574901,-9.39948851,7.336,2011/12/21 17:27:54,,,C08,,,,,,,,,,Waypoint,Summit,,,,,,,,"<label_text>C08</label_text><text xmlns=""http://www.topografix.com/GPX/gpx_style/0/2"" ><font><family generic=""sans-serif"" ><face>Arial</face></family></font></text>"
46.20541097,-9.39866826,4.932,2011/12/21 17:27:54,,,C10,,,,,,,,,,Waypoint,Summit,,,,,,,,"<label_text>C10</label_text><text xmlns=""http://www.topografix.com/GPX/gpx_style/0/2"" ><font><family generic=""sans-serif"" ><face>Arial</face></family></font></text>"
