locality,UC,CH,S,ES,MA,OMS,SMS,PE,SA,GR
1,0.0%,1.8%,0.0%,16.8%,0.9%,24.8%,3.5%,0.0%,6.2%,46.0%
2,0.0%,0.8%,0.0%,9.6%,16%,48.8%,12.8%,0.0%,0.0%,12%
3,0.0%,0.0%,0.0%,3.1%,30%,32.3%,6.2%,3.1%,0.0%,25.4%
4,0.0%,0.0%,0.0%,3%,10%,27%,15%,0.8%,0.0%,44%
5,0.0%,0.0%,0.0%,3.30%,9.10%,36.40%,7.40%,0.8%,0.0%,43%
6,0.0%,0.0%,0.0%,4.4%,0.0%,81.4%,0.0%,0.0%,0.0%,14.2%
7,0.0%,0.8%,0.0%,19.1%,0.0%,45.8%,7.6%,0.0%,3.1%,23.7%
8,0.0%,1.7%,0.0%,31.4%,0.0%,20.3%,7.6%,6.8%,0.0%,32.2%
9,0.0%,0.0%,0.0%,13.7%,2.4%,31.5%,7.3%,0.0%,11.3%,33.9%
10,0.0%,1.6%,0.0%,18.6%,0.0%,37.2%,7.0%,0.0%,2.3%,33.3%
11,0.0%,1.7%,0.0%,18.2%,1.7%,43.8%,5.8%,0.0%,9.1%,19.8%
12,0.0%,0.0%,0.0%,0.8%,6.6%,54.9%,27.0%,0.8%,0.0%,9.8%
13,0.0%,0.8%,0.0%,23.3%,1.7%,39.2%,5.0%,0.0%,0.0%,30.0%
14,0.0%,5.4%,0.0%,64.3%,0.8%,8.5%,0.0%,0.0%,0.8%,20.2%
15,0.0%,3.9%,0.0%,68.2%,3.9%,10.1%,2.3%,0.0%,0.0%,11.6%
16,0.0%,0.0%,0.0%,5.3%,36.1%,25.6%,18.0%,2.3%,0.8%,12.0%
17,0.0%,0.8%,0.0%,17.6%,32.0%,16.0%,8.0%,0.0%,4.8%,20.8%
18,0.0%,0.8%,0.0%,0.8%,5.8%,55.8%,25.8%,0.0%,0.0%,10.8%
19,0.0%,4.2%,0.0%,20.0%,3.3%,25.8%,12.5%,0.0%,6.7%,27.5%
20,0.0%,0.0%,0.0%,35.6%,2.5%,18.6%,2.5%,0.0%,6.8%,33.9%
21,0.0%,0.0%,0.0%,34.6%,6.2%,19.2%,1.5%,0.0%,24.6%,13.8%
22,0.0%,1.6%,0.0%,22.7%,25.0%,10.9%,0.8%,0.0%,25.8%,13.3%
23,0.0%,1.7%,0.0%,39.5%,1.7%,18.5%,8.4%,0.0%,4.2%,26.1%
24,0.0%,2.4%,0.0%,33.9%,4.8%,16.9%,1.6%,0.0%,12.9%,27.4%
25,0.0%,4.7%,0.0%,12.6%,0.0%,48.8%,15.7%,0.0%,7.1%,11.0%
26,0.0%,2.3%,0.0%,9.3%,0.0%,52.7%,18.6%,0.0%,6.2%,10.9%
27,0.0%,3.2%,0.0%,8.8%,2.4%,61.6%,5.6%,0.0%,0.0%,18.4%
28,0.0%,0.0%,0.0%,17.2%,15.6%,13.3%,13.3%,6.3%,0.0%,34.4%
29,0.0%,0.0%,0.0%,25.8%,13.3%,7.0%,10.9%,4.7%,18.8%,19.5%
30,0.0%,0.0%,0.0%,36.1%,22.7%,11.8%,5.9%,2.5%,0.8%,20.2%
31,0.0%,1.9%,0.0%,43.9%,9.3%,0.0%,0.0%,0.0%,26.2%,18.7%
32,0.0%,0.0%,0.0%,33.8%,19.4%,10.8%,3.6%,0.0%,3.6%,28.8%
33,0.0%,1.6%,0.0%,78.7%,0.8%,5.5%,3.9%,0.0%,3.1%,6.3%
34,0.0%,2.7%,0.0%,65.8%,0.0%,4.5%,0.0%,0.0%,11.7%,15.3%
35,0.0%,0.0%,0.0%,57.5%,0.7%,0.0%,0.0%,0.0%,38.1%,3.7%
36,0.0%,0.0%,0.0%,54.2%,6.9%,2.3%,0.0%,0.0%,31.3%,5.3%
37,0.0%,0.0%,0.0%,64.6%,0.0%,0.0%,0.0%,0.0%,20.8%,14.6%
38,0.0%,2.5%,0.0%,47.5%,3.3%,0.0%,0.0%,0.0%,42.5%,4.2%
39,0.0%,1.7%,0.0%,56.2%,5.8%,5.0%,0.8%,0.8%,20.7%,9.1%
40,0.0%,5.8%,0.0%,65.8%,13.3%,1.7%,0.0%,0.0%,12.5%,0.8%
