,Scientific_Name,Common_Name,Risk (local/biological),IUCN_Status,Vulnerability,Resilience,Individuals,Biomass
1,Epinephelus lanceolatus,Giant grouper,4 - Very high,3 - Vulnerable,Very High,Very low,10,161
2,Epinephelus tukula,Potato grouper,4 - Very high,1 - Least concern,Very High,Very low,93,1589
3,Plectropomus laevis,Blacksaddled coralgrouper,3 - High,3 - Vulnerable,High-Very High,Very low,20,126
4,Plectropomus pessuliferus,Roving coralgrouper,3 - High,2 - Near Threatened,High-Very High,Very low,20,177
5,Epinephelus polyphekadion,Camouflage grouper,3 - High,2 - Near Threatened,High-Very High,Very low,632,1600
6,Cheilinus undulatus,Humphead wrasse,2 - Moderate,4 - Endangered,High-Very High,Low,6,157
7,Cephalopholis hemistiktos,Yellowfin hind,1 - Follow up,2 - Near Threatened,Moderate-High,Low,2,1
8,Thunnus obesus,Bigeye tuna,1 - Follow up,3 - Vulnerable,Moderate-High,Low,10,54
9,Epinephelus malabaricus,Malabar grouper,1 - Follow up,2 - Near Threatened,Moderate-High,Low,1,17
10,Epinephelus fuscoguttatus,Brown-marbled grouper,0 - Low,2 - Near Threatened,Moderate-High,Medium,91,409
11,Thunnus albacares,Yellowfin tuna,0 - Low,2 - Near Threatened,Moderate-High,Medium,139,1532
