"x"
"Acanthocybium solandri"
"Aethaloperca rogaa"
"Anyperodon leucogrammicus"
"Aphareus furca"
"Aprion virescens"
"Balistoides viridescens"
"Caranx ignobilis"
"Caranx lugubris"
"Caranx melampygus"
"Caranx sexfasciatus"
"Cephalopholis argus"
"Cephalopholis hemistiktos"
"Cephalopholis miniata"
"Cephalopholis sonnerati"
"Cephalopholis nigripinnis"
"Cheilinus undulatus"
"Coryphaena hippurus"
"Elagatis bipinnulata"
"Epinephelus macrospilos"
"Epinephelus chlorostigma"
"Epinephelus fasciatus"
"Epinephelus fuscoguttatus"
"Epinephelus lanceolatus"
"Epinephelus macrospilos"
"Epinephelus malabaricus"
"Epinephelus merra"
"Epinephelus multinotatus"
"Epinephelus polyphekadion"
"Epinephelus spilotoceps"
"Epinephelus tukula"
"Euthynnus affinis"
"Gymnosarda unicolor"
"Istiompax indica"
"Istiophorus platypterus"
"Katsuwonus pelamis"
"Lethrinus borbonicus"
"Lethrinus conchyliatus"
"Lethrinus lentjan"
"Lethrinus microdon"
"Lethrinus nebulosus"
"Lethrinus olivaceus"
"Lethrinus rubrioperculatus"
"Lethrinus variegatus"
"Lethrinus xanthochilus"
"Lutjanus bengalensis"
"Lutjanus bohar"
"Lutjanus fulviflamma"
"Lutjanus gibbus"
"Lutjanus kasmira"
"Lutjanus monostigma"
"Lutjanus rivulatus"
"Monotaxis grandoculis"
"Plectropomus laevis"
"Plectropomus pessuliferus"
"Plectropomus punctatus"
"Pseudobalistes flavimarginatus"
"Sargocentron spiniferum"
"Sphyraena barracuda"
"Sphyraena jello"
"Sufflamen fraenatum"
"Thunnus albacares"
"Thunnus obesus"
"Variola louti"
