"x"
"Lethrinus rubrioperculatus"
"Lethrinus variegatus"
"Lethrinus lentjan"
"Lethrinus xanthochilus "
"Lethrinus olivaceus "
"Lethrinus microdon"
"Lethrinus nebulosus"
"Lethrinus borbonicus "
"Sargocentron spiniferum"
"Plectropomus pessuliferus"
"Variola louti"
"Epinephelus fasciatus"
"Cephalopholis sonnerati"
"Anyperondon leucogrammicus "
"Plectropomus punctatus"
"Aethaloperca rogaa"
"Epinephelus fuscoguttatus"
"Epinephelus lanceolatus"
"Cephalopholis argus "
"Epinephelus polyphekadion"
"Epinephelus multinotatus"
"Epinephelus  macrospilos"
"Epinephelus tukula"
"Cephalopholus miniata"
"Cephalopholus urodeta"
"Epinephelus spilotoceps"
"Balistoides viridescens"
"Pseudobalistes flavomarginatus"
"Sufflamen fraenatum"
"Istiompax indica"
"Lutjanus rivulatus "
"Lutjanus kasmira "
"Lutganus fulviflamma"
"Lutganus monostigma"
"Lutjanus gibbus "
"Lutjanus bohar"
"Aprion virescens "
"Aphareus furca "
"Elagatis bipinnulata"
"Caranx sexfasciatus"
"Caranx ignobilis "
"Caranx melampygus "
"Plectropomus laevis"
"Acanthocybium solandri"
"Gymnosarda unicolor "
"Thunnus albacares"
"Thunnus obesus"
"Sphyraena jello"
"Shyraena barracuda"
"Coryphaena hippurus"
"Euthynnus affinis"
"Lethrinus conchyliatus"
"Lutjanus bengalensis"
"Cephalopolis hemistiktos"
"Epinephelus chlorostigma"
"Istiophorus platypterus"
"Katsuwonus pelamis"
"Momotaxis gradoculis"
"Cephalopholis sonnerati"
"Caranx lugubris"
"Epinephelus malabaricus"
