Species
Cheilenus undulatus
Plectropomus laevis
Plectropomus pessuliferus
Lethrinus lentjan
Lethrinus rubrioperculatus
Lethrinus variegatus
Lethrinus xanthochilus
Lethrinus olivaceus
Lethrinus microdon
Sphyraena jello
Thunnus obesus
Euthynnus affinis
Lutjanus rivulatus
Coryphaena hippurus
Elagatis bipinnulata
Lethrinus conchyliatus
Lethrinus nebulosus
Caranx sexfasciatus
Caranx ignobilis
Caranx lugubris
Caranx melampygus
Acanthocybium solandri
Variola louti
Sargocentron spiniferum
Lethrinus borbonicus
Epinephelus fasciatus
Lutjanus bengalensis
Cephalopholis sonnerati
Lutjanus kasmira
Cephalopholis hemistiktos
Istiophorus platypterus
Lutjanus fulviflamma
Lutjanus monostigma
Anyperodon leucogrammicus
Monotaxis grandoculis
Sphyraena barracuda
Lutjanus gibbus
Gymnosarda unicolor
Katsuwonus pelamis
Thunnus albacares
Lutjanus bohar
Plectropomus punctatus
Aethaloperca rogaa
Epinephelus fuscoguttatus
Epinephelus lanceolatus
Cephalopholis argus
Epinephelus chlorostigma
Epinephelus malabaricus
Epinephelus polyphekadion
Epinephelus multinotatus
Epinephelus macrospilos
Cephalopholis sonnerati
Epinephelus tukula
Cephalopholis miniata
Cephalopholis urodeta
Epinephelus merra
Epinephelus spilotoceps
Aprion virescens
Aphareus furca
