date,spp_name,location,n_new_nest,month,date_numeric
2007-01-31T20:00:00Z,White-tail tropicbird,Cousine,1,2,1170273600
2007-02-28T20:00:00Z,White-tail tropicbird,Cousine,12,3,1172692800
2007-03-31T20:00:00Z,White-tail tropicbird,Cousine,11,4,1175371200
2007-04-30T20:00:00Z,White-tail tropicbird,Cousine,6,5,1177963200
2007-05-31T20:00:00Z,White-tail tropicbird,Cousine,2,6,1180641600
2007-06-30T20:00:00Z,White-tail tropicbird,Cousine,6,7,1183233600
2007-07-31T20:00:00Z,White-tail tropicbird,Cousine,13,8,1185912000
2007-08-31T20:00:00Z,White-tail tropicbird,Cousine,5,9,1188590400
2007-09-30T20:00:00Z,White-tail tropicbird,Cousine,6,10,1191182400
2007-10-31T20:00:00Z,White-tail tropicbird,Cousine,6,11,1193860800
2007-11-30T20:00:00Z,White-tail tropicbird,Cousine,2,12,1196452800
2007-12-31T20:00:00Z,White-tail tropicbird,Cousine,10,1,1199131200
2008-01-31T20:00:00Z,White-tail tropicbird,Cousine,3,2,1201809600
2008-02-29T20:00:00Z,White-tail tropicbird,Cousine,3,3,1204315200
2008-03-31T20:00:00Z,White-tail tropicbird,Cousine,6,4,1206993600
2008-04-30T20:00:00Z,White-tail tropicbird,Cousine,17,5,1209585600
2008-05-31T20:00:00Z,White-tail tropicbird,Cousine,7,6,1212264000
2008-06-30T20:00:00Z,White-tail tropicbird,Cousine,15,7,1214856000
2008-07-31T20:00:00Z,White-tail tropicbird,Cousine,10,8,1217534400
2008-08-31T20:00:00Z,White-tail tropicbird,Cousine,15,9,1220212800
2008-09-30T20:00:00Z,White-tail tropicbird,Cousine,14,10,1222804800
2008-10-31T20:00:00Z,White-tail tropicbird,Cousine,6,11,1225483200
2008-11-30T20:00:00Z,White-tail tropicbird,Cousine,6,12,1228075200
2008-12-31T20:00:00Z,White-tail tropicbird,Cousine,10,1,1230753600
2009-01-31T20:00:00Z,White-tail tropicbird,Cousine,15,2,1233432000
2009-02-28T20:00:00Z,White-tail tropicbird,Cousine,9,3,1235851200
2009-03-31T20:00:00Z,White-tail tropicbird,Cousine,6,4,1238529600
2009-04-30T20:00:00Z,White-tail tropicbird,Cousine,16,5,1241121600
2009-05-31T20:00:00Z,White-tail tropicbird,Cousine,10,6,1243800000
2009-06-30T20:00:00Z,White-tail tropicbird,Cousine,6,7,1246392000
2009-07-31T20:00:00Z,White-tail tropicbird,Cousine,8,8,1249070400
2009-08-31T20:00:00Z,White-tail tropicbird,Cousine,11,9,1251748800
2009-09-30T20:00:00Z,White-tail tropicbird,Aldabra,0,10,1254340800
2009-09-30T20:00:00Z,White-tail tropicbird,Cousine,13,10,1254340800
2009-10-31T20:00:00Z,White-tail tropicbird,Aldabra,3,11,1257019200
2009-10-31T20:00:00Z,White-tail tropicbird,Cousine,16,11,1257019200
