outcome,day_of_year,date_numeric,spp_name,location
0,252,1315512000,White-tail tropicbird,Aldabra
0,89,1269892800,White-tail tropicbird,Aldabra
0,281,1286481600,White-tail tropicbird,Aldabra
1,NA,NA,White-tail tropicbird,Aldabra
0,221,1281297600,White-tail tropicbird,Aldabra
0,252,1315512000,White-tail tropicbird,Aldabra
1,147,1306440000,White-tail tropicbird,Aldabra
0,39,1297108800,White-tail tropicbird,Aldabra
0,33,1328126400,White-tail tropicbird,Aldabra
0,53,1329854400,White-tail tropicbird,Aldabra
0,6,1325793600,White-tail tropicbird,Aldabra
0,107,1334520000,White-tail tropicbird,Aldabra
0,271,1348689600,White-tail tropicbird,Aldabra
0,212,1343592000,White-tail tropicbird,Aldabra
0,80,1332187200,White-tail tropicbird,Aldabra
1,229,1345060800,White-tail tropicbird,Aldabra
0,116,1366920000,White-tail tropicbird,Aldabra
0,149,1369771200,White-tail tropicbird,Aldabra
0,322,1384718400,White-tail tropicbird,Aldabra
0,NA,NA,White-tail tropicbird,Aldabra
1,63,1393876800,White-tail tropicbird,Aldabra
0,266,1411416000,White-tail tropicbird,Aldabra
0,147,1432670400,White-tail tropicbird,Aldabra
0,7,1452110400,White-tail tropicbird,Aldabra
0,20,1421697600,White-tail tropicbird,Aldabra
0,147,1432670400,White-tail tropicbird,Aldabra
0,163,1434052800,White-tail tropicbird,Aldabra
0,224,1439323200,White-tail tropicbird,Aldabra
1,250,1283803200,White-tail tropicbird,Aldabra
0,98,1302206400,White-tail tropicbird,Aldabra
0,147,1306440000,White-tail tropicbird,Aldabra
0,235,1282507200,White-tail tropicbird,Aldabra
0,NA,NA,White-tail tropicbird,Aldabra
0,68,1299614400,White-tail tropicbird,Aldabra
0,178,1309118400,White-tail tropicbird,Aldabra
0,NA,NA,White-tail tropicbird,Aldabra
1,NA,NA,White-tail tropicbird,Aldabra
1,NA,NA,White-tail tropicbird,Aldabra
1,161,1276113600,White-tail tropicbird,Aldabra
1,312,1320696000,White-tail tropicbird,Aldabra
0,212,1343592000,White-tail tropicbird,Aldabra
0,258,1347566400,White-tail tropicbird,Aldabra
0,107,1334520000,White-tail tropicbird,Aldabra
0,57,1361822400,White-tail tropicbird,Aldabra
0,99,1365451200,White-tail tropicbird,Aldabra
0,260,1379361600,White-tail tropicbird,Aldabra
0,NA,NA,White-tail tropicbird,Aldabra
0,104,1397419200,White-tail tropicbird,Aldabra
0,NA,NA,White-tail tropicbird,Aldabra
0,162,1402430400,White-tail tropicbird,Aldabra
0,309,1415131200,White-tail tropicbird,Aldabra
0,266,1411416000,White-tail tropicbird,Aldabra
0,34,1422907200,White-tail tropicbird,Aldabra
0,299,1445803200,White-tail tropicbird,Aldabra
0,190,1467921600,White-tail tropicbird,Aldabra
0,190,1467921600,White-tail tropicbird,Aldabra
0,133,1305230400,White-tail tropicbird,Aldabra
0,252,1315512000,White-tail tropicbird,Aldabra
1,308,1288814400,White-tail tropicbird,Aldabra
1,NA,NA,White-tail tropicbird,Aldabra
0,264,1285012800,White-tail tropicbird,Aldabra
0,324,1258660800,White-tail tropicbird,Aldabra
1,209,1311796800,White-tail tropicbird,Aldabra
0,250,1283803200,White-tail tropicbird,Aldabra
0,82,1300824000,White-tail tropicbird,Aldabra
1,147,1306440000,White-tail tropicbird,Aldabra
0,89,1269892800,White-tail tropicbird,Aldabra
0,193,1278878400,White-tail tropicbird,Aldabra
0,53,1298318400,White-tail tropicbird,Aldabra
0,57,1267128000,White-tail tropicbird,Aldabra
0,81,1269201600,White-tail tropicbird,Aldabra
0,81,1269201600,White-tail tropicbird,Aldabra
0,131,1273521600,White-tail tropicbird,Aldabra
0,NA,NA,White-tail tropicbird,Aldabra
0,356,1324497600,White-tail tropicbird,Aldabra
0,124,1335988800,White-tail tropicbird,Aldabra
0,124,1335988800,White-tail tropicbird,Aldabra
0,136,1337025600,White-tail tropicbird,Aldabra
0,66,1330977600,White-tail tropicbird,Aldabra
0,66,1330977600,White-tail tropicbird,Aldabra
0,318,1352750400,White-tail tropicbird,Aldabra
0,354,1355860800,White-tail tropicbird,Aldabra
0,286,1349985600,White-tail tropicbird,Aldabra
1,NA,NA,White-tail tropicbird,Aldabra
0,149,1369771200,White-tail tropicbird,Aldabra
1,149,1369771200,White-tail tropicbird,Aldabra
0,7,1452110400,White-tail tropicbird,Aldabra
