Month,Year,Fledged,Failed,Total,New,Failed at Egg,F at C1,F at C2,F at C3,F at Unk,Monthly % Success,Annual % Success,,,
Jan,2011,14,1,15,9,1,0,0,0,0,93.33333333,44.49472735,,,c1= downy chick
Feb,2011,10,0,10,21,0,0,0,0,0,100,,,,c2=partially feathered chick
Mar,2011,7,8,15,27,6,2,0,0,0,46.66666667,,,,c3=fully feathered chick
Apr,2011,2,17,19,20,8,8,1,0,0,10.52631579,,,,
May,2011,5,13,18,31,9,1,2,1,0,27.77777778,,,,
Jun,2011,12,11,23,21,9,1,1,0,0,52.17391304,,,,
Jul,2011,2,9,11,14,8,0,0,1,0,18.18181818,,,,
Aug,2011,9,15,24,27,11,3,1,0,0,37.5,,,,
Sep,2011,10,3,13,14,2,0,0,1,0,76.92307692,,,,
Oct,2011,10,4,23,28,2,2,0,0,0,43.47826087,,,,
Nov,2011,8,25,34,26,16,8,0,1,0,23.52941176,,,,
Dec,2011,1,25,26,5,18,5,0,2,0,3.846153846,,,,
Jan,2012,5,9,14,14,3,0,0,1,5,35.71428571,35.22848575,,,
Feb,2012,7,4,11,24,3,1,0,0,0,63.63636364,,,,
Mar,2012,2,11,13,16,6,3,0,0,2,15.38461538,,,,
Apr,2012,4,13,17,23,7,3,0,0,3,23.52941176,,,,
May,2012,7,26,33,33,23,0,0,0,3,21.21212121,,,,
Jun,2012,10,10,20,15,6,1,0,0,3,50,,,,
Jul,2012,3,6,9,11,3,1,1,1,0,33.33333333,,,,
Aug,2012,6,5,11,23,2,2,1,0,0,54.54545455,,,,
Sep,2012,7,11,18,19,2,2,1,0,6,38.88888889,,,,
Oct,2012,6,15,21,41,10,2,0,1,2,28.57142857,,,,
Nov,2012,7,20,27,21,11,6,0,1,2,25.92592593,,,,
Dec,2012,8,17,25,6,6,7,1,0,3,32,,,,
Jan,2013,5,16,21,4,1,2,1,0,12,23.80952381,#VALUE!,,,
Feb,2013,4,1,5,11,0,0,0,0,1,80,,,,
Mar,2013,2,3,5,21,3,0,0,0,0,40,,,,
Apr,2013,0,1,1,7,1,0,0,0,0,0,,,,
May,2013,NA,NA,NA,9,NA,NA,NA,NA,NA,#VALUE!,,,,
Jun,2013,8,9,17,66,6,0,1,2,0,47.05882353,,,,
Jul,2013,1,18,19,32,11,5,0,2,0,5.263157895,,,,
Aug,2013,3,10,13,1,8,1,1,0,0,23.07692308,,,,
Sep,2013,17,5,22,14,3,1,1,0,0,77.27272727,,,,
Oct,2013,28,5,33,43,5,0,0,0,0,84.84848485,,,,
Nov,2013,8,3,11,14,1,0,0,0,2,72.72727273,,,,
Dec,2013,7,16,23,12,8,0,0,0,8,30.43478261,,,,
Jan,2014,4,1,5,0,1,0,0,0,0,80,46.40556489,,,
Feb,2014,6,4,10,17,4,0,0,0,0,60,,,,
Mar,2014,8,0,8,49,0,0,0,0,0,100,,,,
Apr,2014,0,7,7,13,6,0,0,1,0,0,,,,
May,2014,7,18,25,19,12,4,2,0,0,28,,,,
Jun,2014,8,14,22,21,10,3,0,1,0,36.36363636,,,,
Jul,2014,0,5,5,9,2,1,0,2,0,0,,,,
Aug,2014,9,8,17,13,5,2,1,0,0,52.94117647,,,,
Sep,2014,10,3,13,22,2,0,1,0,0,76.92307692,,,,
Oct,2014,4,6,10,21,6,0,0,0,0,40,,,,
Nov,2014,7,11,18,11,4,7,0,0,0,38.88888889,,,,
Dec,2014,7,9,16,13,6,2,0,1,0,43.75,,,,
Jan,2015,9,7,16,14,3,3,2,0,0,56.25,22.9913129,,,
Feb,2015,7,3,10,17,3,0,0,0,0,70,,,,
Mar,2015,5,10,15,17,6,3,0,0,1,33.33333333,,,,
Apr,2015,2,3,5,7,2,1,0,0,0,40,,,,
May,2015,5,12,17,16,5,6,0,1,0,29.41176471,,,,
Jun,2015,7,17,24,11,8,5,3,0,0,29.16666667,,,,
Jul,2015,0,6,6,10,2,1,3,0,0,0,,,,
Aug,2015,0,4,4,20,1,3,0,0,0,0,,,,
Sep,2015,1,28,29,18,23,4,1,0,0,3.448275862,,,,
Oct,2015,0,8,8,18,8,0,0,0,0,0,,,,
Nov,2015,0,12,12,32,10,1,0,1,0,0,,,,
Dec,2015,1,6,7,7,5,1,0,0,0,14.28571429,,,,
Jan,2016,8,18,26,8,11,5,0,2,0,30.76923077,45.78056386,,,
Feb,2016,5,11,16,8,5,3,0,0,0,31.25,,,,
Mar,2016,9,1,10,5,1,0,0,0,0,90,,,,
Apr,2016,0,2,2,7,1,1,0,0,0,0,,,,
May,2016,3,5,8,6,3,1,1,0,0,37.5,,,,
Jun,2016,2,0,2,11,0,0,0,0,0,100,,,,
Jul,2016,2,7,9,24,3,3,1,0,0,22.22222222,,,,
Aug,2016,5,14,19,30,10,4,0,0,0,26.31578947,,,,
Sep,2016,2,10,12,9,6,4,0,0,0,16.66666667,,,,
Oct,2016,8,6,14,6,2,0,4,0,0,57.14285714,,,,
Nov,2016,5,3,8,24,3,0,0,0,0,62.5,,,,
Dec,2016,15,5,20,5,3,0,0,2,0,75,,,,
