mydate,Time_m,nMonth,Month,Year,Fledged,Failed,Total,New
15-02-07,1.00,2,Feb,2007,1,2,3,1
15-03-07,2.00,3,Mar,2007,6,4,10,12
15-04-07,3.00,4,Apr,2007,1,7,8,11
15-05-07,4.00,5,May,2007,8,5,13,6
15-06-07,5.00,6,Jun,2007,2,2,4,2
15-07-07,6.00,7,Jul,2007,5,2,7,6
15-08-07,7.00,8,Aug,2007,9,2,11,13
15-09-07,8.00,9,Sep,2007,3,6,9,5
15-10-07,9.00,10,Oct,2007,4,8,12,6
15-11-07,10.00,11,Nov,2007,6,0,6,6
15-12-07,11.00,12,Dec,2007,3,2,5,2
15-01-08,12.00,1,Jan,2008,5,3,8,10
15-02-08,13.00,2,Feb,2008,0,0,0,3
15-03-08,14.00,3,Mar,2008,5,0,5,3
15-04-08,15.00,4,Apr,2008,7,2,9,6
15-05-08,16.00,5,May,2008,4,0,4,17
15-06-08,17.00,6,Jun,2008,1,6,7,7
15-07-08,18.00,7,Jul,2008,3,8,11,15
15-08-08,19.00,8,Aug,2008,4,5,9,10
15-09-08,20.00,9,Sep,2008,8,6,14,15
15-10-08,21.00,10,Oct,2008,2,10,12,14
15-11-08,22.00,11,Nov,2008,5,3,8,6
15-12-08,23.00,12,Dec,2008,7,6,13,6
15-01-09,24.00,1,Jan,2009,9,3,12,10
15-02-09,25.00,2,Feb,2009,2,3,5,15
15-03-09,26.00,3,Mar,2009,0,6,6,9
15-04-09,27.00,4,Apr,2009,3,11,14,6
15-05-09,28.00,5,May,2009,4,0,4,16
15-06-09,29.00,6,Jun,2009,7,6,13,10
15-07-09,30.00,7,Jul,2009,4,5,9,6
15-08-09,31.00,8,Aug,2009,3,6,9,8
15-09-09,32.00,9,Sep,2009,9,10,19,11
15-10-09,33.00,10,Oct,2009,6,5,11,13
15-11-09,34.00,11,Nov,2009,0,12,12,16
15-12-09,35.00,12,Dec,2009,5,21,26,9
15-01-10,36.00,1,Jan,2010,6,4,10,18
15-02-10,37.00,2,Feb,2010,4,4,8,9
15-03-10,38.00,3,Mar,2010,4,8,12,7
15-04-10,39.00,4,Apr,2010,2,3,5,4
15-05-10,40.00,5,May,2010,11,4,15,11
15-06-10,41.00,6,Jun,2010,6,1,7,13
15-07-10,42.00,7,Jul,2010,4,2,6,5
15-08-10,43.00,8,Aug,2010,2,1,3,11
15-09-10,44.00,9,Sep,2010,7,5,12,17
15-10-10,45.00,10,Oct,2010,11,5,16,16
15-11-10,46.00,11,Nov,2010,2,3,5,5
15-12-10,47.00,12,Dec,2010,8,10,18,4
15-01-11,48.00,1,Jan,2011,8,2,10,2
15-02-11,49.00,2,Feb,2011,5,2,7,4
15-03-11,50.00,3,Mar,2011,8,3,11,10
15-04-11,51.00,4,Apr,2011,1,6,7,11
15-05-11,52.00,5,May,2011,4,3,7,11
15-06-11,53.00,6,Jun,2011,2,12,14,17
15-07-11,54.00,7,Jul,2011,4,4,8,10
15-08-11,55.00,8,Aug,2011,5,13,18,11
15-09-11,56.00,9,Sep,2011,6,4,10,10
